,second,Volt,Volt.1
224,-0.0776,-0.9648241103,-0.0160804018
225,-0.0775,-0.944723608,-0.0201005023
226,-0.0774,-0.9648241103,-0.0160804018
227,-0.0773,-0.9648241103,-0.0201005023
228,-0.0772,-0.9648241103,-0.0160804018
229,-0.0771,-0.9648241103,-0.0120603014
230,-0.077,-0.9648241103,-0.0160804018
231,-0.0769,-0.9648241103,-0.0160804018
232,-0.0768,-0.9648241103,-0.0120603014
233,-0.07669999999999999,-0.9648241103,-0.0120603014
234,-0.0766,-0.9648241103,-0.0120603014
235,-0.0765,-0.9648241103,-0.0120603014
236,-0.0764,-0.9648241103,-0.0120603014
237,-0.07629999999999999,-0.9849246126,-0.0120603014
238,-0.07619999999999999,-0.9648241103,-0.0120603014
239,-0.0761,-0.9648241103,-0.0120603014
240,-0.076,-0.9648241103,-0.0120603014
241,-0.0759,-0.9648241103,-0.0120603014
242,-0.0758,-0.9648241103,-0.0080402009
243,-0.0757,-0.9648241103,-0.0080402009
244,-0.0756,-0.9849246126,-0.0120603014
245,-0.07550000000000001,-0.9849246126,-0.0080402009
246,-0.07540000000000001,-0.9648241103,-0.0080402009
247,-0.0753,-0.9648241103,-0.0080402009
248,-0.0752,-0.9648241103,-0.0120603014
249,-0.0751,-0.9849246126,-0.0080402009
250,-0.075,-0.9648241103,-0.0040201005
251,-0.07490000000000001,-0.9648241103,-0.0080402009
252,-0.0748,-0.9648241103,-0.0080402009
253,-0.0747,-0.9648241103,-0.0040201005
254,-0.0746,-0.9648241103,-0.0040201005
255,-0.0745,-0.9849246126,-0.0080402009
256,-0.07440000000000001,-0.9648241103,-0.0080402009
257,-0.0743,-0.9648241103,-0.0040201005
258,-0.0742,-0.9648241103,-0.0040201005
259,-0.0741,-0.9648241103,-0.0040201005
260,-0.074,-0.9648241103,-0.0040201005
261,-0.0739,-0.9849246126,-0.0040201005
262,-0.0738,-0.9648241103,0.0
263,-0.0737,-0.9648241103,-0.0
264,-0.0736,-0.9648241103,0.0
265,-0.0735,-0.9648241103,0.0
266,-0.07339999999999999,-0.9648241103,0.0
267,-0.0733,-0.9648241103,0.0
268,-0.0732,-0.9648241103,0.0
269,-0.0731,-0.9648241103,0.0040201005
